codigo_ibge_6dig;nome;estado;capital;regiao_metropolitana;classificacao
520005;Abadia de Goiás-GO;GO;0;1;Periferia 1
310010;Abadia dos Dourados-MG;MG;0;0;Interior
520010;Abadiânia-GO;GO;0;1;Periferia 1
310020;Abaeté-MG;MG;0;0;Interior
150010;Abaetetuba-PA;PA;0;0;Interior
230010;Abaiara-CE;CE;0;0;Interior
290010;Abaíra-BA;BA;0;0;Interior
290020;Abaré-BA;BA;0;0;Interior
410010;Abatiá-PR;PR;0;0;Interior
420005;Abdon Batista-SC;SC;0;2;Periferia 2
150013;Abel Figueiredo-PA;PA;0;0;Interior
420010;Abelardo Luz-SC;SC;0;2;Periferia 2
310030;Abre Campo-MG;MG;0;0;Interior
260005;Abreu e Lima-PE;PE;0;1;Periferia 1
170025;Abreulândia-TO;TO;0;0;Interior
310040;Acaiaca-MG;MG;0;0;Interior
210005;Açailândia-MA;MA;0;0;Interior
290030;Acajutiba-BA;BA;0;0;Interior
150020;Acará-PA;PA;0;0;Interior
230015;Acarape-CE;CE;0;0;Interior
230020;Acaraú-CE;CE;0;0;Interior
240010;Acari-RN;RN;0;0;Interior
220005;Acauã-PI;PI;0;0;Interior
430003;Aceguá-RS;RS;0;0;Interior
230030;Acopiara-CE;CE;0;0;Interior
510010;Acorizal-MT;MT;0;1;Periferia 1
120001;Acrelândia-AC;AC;0;0;Interior
520013;Acreúna-GO;GO;0;0;Interior
240020;Açu-RN;RN;0;0;Interior
310050;Açucena-MG;MG;0;2;Periferia 2
350010;Adamantina-SP;SP;0;0;Interior
520015;Adelândia-GO;GO;0;0;Interior
350020;Adolfo-SP;SP;0;0;Interior
410020;Adrianópolis-PR;PR;0;1;Periferia 1
290035;Adustina-BA;BA;0;0;Interior
260010;Afogados da Ingazeira-PE;PE;0;0;Interior
240030;Afonso Bezerra-RN;RN;0;0;Interior
320010;Afonso Cláudio-ES;ES;0;0;Interior
210010;Afonso Cunha-MA;MA;0;0;Interior
260020;Afrânio-PE;PE;0;0;Interior
150030;Afuá-PA;PA;0;0;Interior
260030;Agrestina-PE;PE;0;0;Interior
220010;Agricolândia-PI;PI;0;0;Interior
420020;Agrolândia-SC;SC;0;2;Periferia 2
420030;Agronômica-SC;SC;0;2;Periferia 2
150034;Água Azul do Norte-PA;PA;0;0;Interior
310060;Água Boa-MG;MG;0;0;Interior
510020;Água Boa-MT;MT;0;0;Interior
220020;Água Branca-PI;PI;0;0;Interior
250010;Água Branca-PB;PB;0;0;Interior
270010;Água Branca-AL;AL;0;2;Periferia 2
500020;Água Clara-MS;MS;0;0;Interior
310070;Água Comprida-MG;MG;0;0;Interior
420040;Água Doce-SC;SC;0;2;Periferia 2
210015;Água Doce do Maranhão-MA;MA;0;0;Interior
320016;Água Doce do Norte-ES;ES;0;0;Interior
290040;Água Fria-BA;BA;0;0;Interior
520017;Água Fria de Goiás-GO;GO;0;1;Periferia 1
520020;Água Limpa-GO;GO;0;0;Interior
240040;Água Nova-RN;RN;0;0;Interior
260040;Água Preta-PE;PE;0;0;Interior
430005;Água Santa-RS;RS;0;0;Interior
350030;Aguaí-SP;SP;0;0;Interior
310080;Aguanil-MG;MG;0;0;Interior
260050;Águas Belas-PE;PE;0;0;Interior
350040;Águas da Prata-SP;SP;0;0;Interior
420050;Águas de Chapecó-SC;SC;0;2;Periferia 2
350050;Águas de Lindóia-SP;SP;0;0;Interior
350055;Águas de Santa Bárbara-SP;SP;0;0;Interior
350060;Águas de São Pedro-SP;SP;0;0;Interior
310090;Águas Formosas-MG;MG;0;0;Interior
420055;Águas Frias-SC;SC;0;2;Periferia 2
520025;Águas Lindas de Goiás-GO;GO;0;1;Periferia 1
420060;Águas Mornas-SC;SC;0;1;Periferia 1
310100;Águas Vermelhas-MG;MG;0;0;Interior
430010;Agudo-RS;RS;0;0;Interior
350070;Agudos-SP;SP;0;0;Interior
410030;Agudos do Sul-PR;PR;0;1;Periferia 1
320013;Águia Branca-ES;ES;0;0;Interior
250020;Aguiar-PB;PB;0;2;Periferia 2
170030;Aguiarnópolis-TO;TO;0;0;Interior
310110;Aimorés-MG;MG;0;0;Interior
290060;Aiquara-BA;BA;0;0;Interior
230040;Aiuaba-CE;CE;0;0;Interior
310120;Aiuruoca-MG;MG;0;0;Interior
430020;Ajuricaba-RS;RS;0;0;Interior
310130;Alagoa-MG;MG;0;0;Interior
250030;Alagoa Grande-PB;PB;0;0;Interior
250040;Alagoa Nova-PB;PB;0;2;Periferia 2
250050;Alagoinha-PB;PB;0;2;Periferia 2
260060;Alagoinha-PE;PE;0;0;Interior
220025;Alagoinha do Piauí-PI;PI;0;0;Interior
290070;Alagoinhas-BA;BA;0;0;Interior
350075;Alambari-SP;SP;0;2;Periferia 2
310140;Albertina-MG;MG;0;0;Interior
210020;Alcântara-MA;MA;0;1;Periferia 1
230050;Alcântaras-CE;CE;0;2;Periferia 2
250053;Alcantil-PB;PB;0;2;Periferia 2
500025;Alcinópolis-MS;MS;0;0;Interior
290080;Alcobaça-BA;BA;0;0;Interior
210030;Aldeias Altas-MA;MA;0;0;Interior
430030;Alecrim-RS;RS;0;0;Interior
320020;Alegre-ES;ES;0;0;Interior
430040;Alegrete-RS;RS;0;0;Interior
220027;Alegrete do Piauí-PI;PI;0;0;Interior
430045;Alegria-RS;RS;0;0;Interior
310150;Além Paraíba-MG;MG;0;0;Interior
150040;Alenquer-PA;PA;0;0;Interior
240050;Alexandria-RN;RN;0;0;Interior
520030;Alexânia-GO;GO;0;1;Periferia 1
310160;Alfenas-MG;MG;0;0;Interior
320030;Alfredo Chaves-ES;ES;0;0;Interior
350080;Alfredo Marcondes-SP;SP;0;0;Interior
310163;Alfredo Vasconcelos-MG;MG;0;0;Interior
420070;Alfredo Wagner-SC;SC;0;1;Periferia 1
250057;Algodão de Jandaíra-PB;PB;0;2;Periferia 2
250060;Alhandra-PB;PB;0;1;Periferia 1
260070;Aliança-PE;PE;0;0;Interior
170035;Aliança do Tocantins-TO;TO;0;2;Periferia 2
290090;Almadina-BA;BA;0;0;Interior
170040;Almas-TO;TO;0;0;Interior
150050;Almeirim-PA;PA;0;0;Interior
310170;Almenara-MG;MG;0;0;Interior
240060;Almino Afonso-RN;RN;0;0;Interior
410040;Almirante Tamandaré-PR;PR;0;1;Periferia 1
430047;Almirante Tamandaré do Sul-RS;RS;0;0;Interior
520050;Aloândia-GO;GO;0;0;Interior
310180;Alpercata-MG;MG;0;0;Interior
430050;Alpestre-RS;RS;0;0;Interior
310190;Alpinópolis-MG;MG;0;0;Interior
510025;Alta Floresta-MT;MT;0;0;Interior
110001;Alta Floresta D'Oeste-RO;RO;0;0;Interior
350090;Altair-SP;SP;0;0;Interior
150060;Altamira-PA;PA;0;0;Interior
210040;Altamira do Maranhão-MA;MA;0;0;Interior
410045;Altamira do Paraná-PR;PR;0;2;Periferia 2
230060;Altaneira-CE;CE;0;0;Interior
310200;Alterosa-MG;MG;0;0;Interior
260080;Altinho-PE;PE;0;0;Interior
350100;Altinópolis-SP;SP;0;2;Periferia 2
350110;Alto Alegre-SP;SP;0;0;Interior
140005;Alto Alegre-RR;RR;0;1;Periferia 1
430055;Alto Alegre-RS;RS;0;0;Interior
210043;Alto Alegre do Maranhão-MA;MA;0;0;Interior
210047;Alto Alegre do Pindaré-MA;MA;0;0;Interior
110037;Alto Alegre dos Parecis-RO;RO;0;0;Interior
510030;Alto Araguaia-MT;MT;0;0;Interior
420075;Alto Bela Vista-SC;SC;0;2;Periferia 2
510035;Alto Boa Vista-MT;MT;0;0;Interior
310205;Alto Caparaó-MG;MG;0;0;Interior
240070;Alto do Rodrigues-RN;RN;0;0;Interior
430057;Alto Feliz-RS;RS;0;0;Interior
510040;Alto Garças-MT;MT;0;0;Interior
520055;Alto Horizonte-GO;GO;0;0;Interior
315350;Alto Jequitibá-MG;MG;0;0;Interior
220030;Alto Longá-PI;PI;0;0;Interior
510050;Alto Paraguai-MT;MT;0;0;Interior
412862;Alto Paraíso-PR;PR;0;2;Periferia 2
110040;Alto Paraíso-RO;RO;0;0;Interior
520060;Alto Paraíso de Goiás-GO;GO;0;1;Periferia 1
410060;Alto Paraná-PR;PR;0;0;Interior
210050;Alto Parnaíba-MA;MA;0;0;Interior
410070;Alto Piquiri-PR;PR;0;2;Periferia 2
310210;Alto Rio Doce-MG;MG;0;0;Interior
320035;Alto Rio Novo-ES;ES;0;0;Interior
230070;Alto Santo-CE;CE;0;0;Interior
510060;Alto Taquari-MT;MT;0;0;Interior
410050;Altônia-PR;PR;0;2;Periferia 2
220040;Altos-PI;PI;0;1;Periferia 1
350115;Alumínio-SP;SP;0;2;Periferia 2
130002;Alvarães-AM;AM;0;0;Interior
310220;Alvarenga-MG;MG;0;0;Interior
350120;Álvares Florence-SP;SP;0;0;Interior
350130;Álvares Machado-SP;SP;0;0;Interior
350140;Álvaro de Carvalho-SP;SP;0;0;Interior
350150;Alvinlândia-SP;SP;0;0;Interior
310230;Alvinópolis-MG;MG;0;0;Interior
170070;Alvorada-TO;TO;0;2;Periferia 2
430060;Alvorada-RS;RS;0;1;Periferia 1
110034;Alvorada D'Oeste-RO;RO;0;0;Interior
310240;Alvorada de Minas-MG;MG;0;0;Interior
220045;Alvorada do Gurguéia-PI;PI;0;0;Interior
520080;Alvorada do Norte-GO;GO;0;1;Periferia 1
410080;Alvorada do Sul-PR;PR;0;2;Periferia 2
140002;Amajari-RR;RR;0;0;Interior
500060;Amambai-MS;MS;0;0;Interior
160010;Amapá-AP;AP;0;0;Interior
210055;Amapá do Maranhão-MA;MA;0;0;Interior
410090;Amaporã-PR;PR;0;0;Interior
260090;Amaraji-PE;PE;0;0;Interior
430063;Amaral Ferrador-RS;RS;0;0;Interior
520082;Amaralina-GO;GO;0;0;Interior
220050;Amarante-PI;PI;0;0;Interior
210060;Amarante do Maranhão-MA;MA;0;0;Interior
290100;Amargosa-BA;BA;0;0;Interior
130006;Amaturá-AM;AM;0;0;Interior
290110;Amélia Rodrigues-BA;BA;0;2;Periferia 2
290115;América Dourada-BA;BA;0;0;Interior
350160;Americana-SP;SP;0;2;Periferia 2
520085;Americano do Brasil-GO;GO;0;0;Interior
350170;Américo Brasiliense-SP;SP;0;0;Interior
350180;Américo de Campos-SP;SP;0;0;Interior
430064;Ametista do Sul-RS;RS;0;0;Interior
230075;Amontada-CE;CE;0;0;Interior
520090;Amorinópolis-GO;GO;0;0;Interior
250073;Amparo-PB;PB;0;0;Interior
350190;Amparo-SP;SP;0;0;Interior
280010;Amparo de São Francisco-SE;SE;0;0;Interior
310250;Amparo do Serra-MG;MG;0;0;Interior
410100;Ampére-PR;PR;0;0;Interior
270020;Anadia-AL;AL;0;0;Interior
290120;Anagé-BA;BA;0;0;Interior
410105;Anahy-PR;PR;0;2;Periferia 2
150070;Anajás-PA;PA;0;0;Interior
210070;Anajatuba-MA;MA;0;0;Interior
350200;Analândia-SP;SP;0;0;Interior
130008;Anamã-AM;AM;0;0;Interior
170100;Ananás-TO;TO;0;0;Interior
150080;Ananindeua-PA;PA;0;1;Periferia 1
520110;Anápolis-GO;GO;0;0;Interior
150085;Anapu-PA;PA;0;0;Interior
210080;Anapurus-MA;MA;0;0;Interior
