"","ano","mes","mes_inter_int","month_inter","regiao","estado","codigo_ibge_6dig","nome","cidade","median_temp_ar"
"1",2012,1,"2012-01","Jan","CO","GO",520620,"Cristalina-GO"," CRISTALINA",21.2357399103139
"2",2012,1,"2012-01","Jan","CO","MS",500270,"Campo Grande-MS"," CAMPO GRANDE",24.9164417177914
"3",2012,1,"2012-01","Jan","N","AC",120040,"Rio Branco-AC"," RIO BRANCO",25.0164088769334
"4",2012,1,"2012-01","Jan","N","AM",130030,"Autazes-AM"," AUTAZES",26.145888527868
"5",2012,1,"2012-01","Jan","N","AM",130190,"Itacoatiara-AM"," ITACOATIARA",26.2105359596885
"6",2012,1,"2012-01","Jan","N","AM",130250,"Manacapuru-AM"," MANACAPURU",26.4263169692894
"7",2012,1,"2012-01","Jan","N","AM",130260,"Manaus-AM"," MANAUS",26.6789198036006
"8",2012,1,"2012-01","Jan","N","AM",130353,"Presidente Figueiredo-AM"," PRESIDENTE FIGUEIREDO",26.0506133575648
"9",2012,1,"2012-01","Jan","N","PA",150240,"Castanhal-PA"," CASTANHAL",26.7081244337058
"10",2012,1,"2012-01","Jan","N","RO",110020,"Porto Velho-RO"," PORTO VELHO",25.6258186738836
"11",2012,1,"2012-01","Jan","N","RR",140010,"Boa Vista-RR"," BOA VISTA",28.0183803763441
"12",2012,1,"2012-01","Jan","N","TO",172100,"Palmas-TO"," PALMAS",25.7965303593557
"13",2012,1,"2012-01","Jan","NE","BA",292740,"Salvador-BA"," SALVADOR",26.839873130947
"14",2012,1,"2012-01","Jan","NE","CE",230440,"Fortaleza-CE"," FORTALEZA",27.9413456009201
"15",2012,1,"2012-01","Jan","NE","PE",261160,"Recife-PE"," RECIFE",26.4507177033492
"16",2012,1,"2012-01","Jan","NE","PI",221100,"Teresina-PI"," TERESINA",27.1876799078872
"17",2012,1,"2012-01","Jan","NE","RN",240810,"Natal-RN"," NATAL",27.2689307330195
"18",2012,1,"2012-01","Jan","NE","SE",280030,"Aracaju-SE"," ARACAJU",27.7520062766196
"19",2012,1,"2012-01","Jan","S","PR",410690,"Curitiba-PR"," CURITIBA",21.2128415300546
"20",2012,1,"2012-01","Jan","S","RS",431490,"Porto Alegre-RS"," PORTO ALEGRE",24.7050448430494
"21",2012,1,"2012-01","Jan","SE","MG",310930,"Buritis-MG"," BURITIS",23.0094111320249
"22",2012,1,"2012-01","Jan","SE","MG",312600,"Florestal-MG"," FLORESTAL",22.834716304104
"23",2012,1,"2012-01","Jan","SE","SP",350570,"Barueri-SP"," BARUERI",21.8425627240144
"24",2012,2,"2012-02","Feb","CO","GO",520620,"Cristalina-GO"," CRISTALINA",21.7481381011098
"25",2012,2,"2012-02","Feb","CO","MS",500270,"Campo Grande-MS"," CAMPO GRANDE",25.0655824955648
"26",2012,2,"2012-02","Feb","N","AC",120040,"Rio Branco-AC"," RIO BRANCO",24.8995314426633
"27",2012,2,"2012-02","Feb","N","AM",130030,"Autazes-AM"," AUTAZES",25.8874815470919
"28",2012,2,"2012-02","Feb","N","AM",130190,"Itacoatiara-AM"," ITACOATIARA",26.0154130377409
"29",2012,2,"2012-02","Feb","N","AM",130250,"Manacapuru-AM"," MANACAPURU",26.0968509794198
"30",2012,2,"2012-02","Feb","N","AM",130260,"Manaus-AM"," MANAUS",26.1549054373522
"31",2012,2,"2012-02","Feb","N","AM",130353,"Presidente Figueiredo-AM"," PRESIDENTE FIGUEIREDO",25.6973233995585
"32",2012,2,"2012-02","Feb","N","PA",150240,"Castanhal-PA"," CASTANHAL",26.3050283286119
"33",2012,2,"2012-02","Feb","N","RO",110020,"Porto Velho-RO"," PORTO VELHO",25.5461636502676
"34",2012,2,"2012-02","Feb","N","RR",140010,"Boa Vista-RR"," BOA VISTA",27.8935471976402
"35",2012,2,"2012-02","Feb","N","TO",172100,"Palmas-TO"," PALMAS",25.614766970618
"36",2012,2,"2012-02","Feb","NE","BA",292740,"Salvador-BA"," SALVADOR",27.1497406767103
"37",2012,2,"2012-02","Feb","NE","CE",230440,"Fortaleza-CE"," FORTALEZA",27.5207474580929
"38",2012,2,"2012-02","Feb","NE","PE",261160,"Recife-PE"," RECIFE",26.7966995768688
"39",2012,2,"2012-02","Feb","NE","PI",221100,"Teresina-PI"," TERESINA",26.9807923930269
"40",2012,2,"2012-02","Feb","NE","RN",240810,"Natal-RN"," NATAL",27.4655325443787
"41",2012,2,"2012-02","Feb","NE","SE",280030,"Aracaju-SE"," ARACAJU",27.8500740009866
"42",2012,2,"2012-02","Feb","S","PR",410690,"Curitiba-PR"," CURITIBA",22.0975635315692
"43",2012,2,"2012-02","Feb","S","RS",431490,"Porto Alegre-RS"," PORTO ALEGRE",25.3669965363681
"44",2012,2,"2012-02","Feb","SE","MG",310930,"Buritis-MG"," BURITIS",23.5678740596266
"45",2012,2,"2012-02","Feb","SE","MG",312600,"Florestal-MG"," FLORESTAL",23.2856262327416
"46",2012,2,"2012-02","Feb","SE","SP",350570,"Barueri-SP"," BARUERI",23.3549347258485
"47",2012,3,"2012-03","Mar","CO","GO",520620,"Cristalina-GO"," CRISTALINA",21.4609734114466
"48",2012,3,"2012-03","Mar","CO","MS",500270,"Campo Grande-MS"," CAMPO GRANDE",24.9817421790723
"49",2012,3,"2012-03","Mar","N","AC",120040,"Rio Branco-AC"," RIO BRANCO",25.0101507990097
"50",2012,3,"2012-03","Mar","N","AM",130030,"Autazes-AM"," AUTAZES",26.2554831061055
"51",2012,3,"2012-03","Mar","N","AM",130190,"Itacoatiara-AM"," ITACOATIARA",26.3296918123275
"52",2012,3,"2012-03","Mar","N","AM",130250,"Manacapuru-AM"," MANACAPURU",26.4753282028068
"53",2012,3,"2012-03","Mar","N","AM",130260,"Manaus-AM"," MANAUS",26.5471872376155
"54",2012,3,"2012-03","Mar","N","AM",130353,"Presidente Figueiredo-AM"," PRESIDENTE FIGUEIREDO",26.0946526736632
"55",2012,3,"2012-03","Mar","N","PA",150240,"Castanhal-PA"," CASTANHAL",26.078936605317
"56",2012,3,"2012-03","Mar","N","RO",110020,"Porto Velho-RO"," PORTO VELHO",25.8948323380799
"57",2012,3,"2012-03","Mar","N","RR",140010,"Boa Vista-RR"," BOA VISTA",28.1378782608695
"58",2012,3,"2012-03","Mar","N","TO",172100,"Palmas-TO"," PALMAS",26.0432872056324
"59",2012,3,"2012-03","Mar","NE","BA",292740,"Salvador-BA"," SALVADOR",27.2615221489161
"60",2012,3,"2012-03","Mar","NE","CE",230440,"Fortaleza-CE"," FORTALEZA",27.2653352699104
"61",2012,3,"2012-03","Mar","NE","PE",261160,"Recife-PE"," RECIFE",27.0140171412772
"62",2012,3,"2012-03","Mar","NE","PI",221100,"Teresina-PI"," TERESINA",27.0065615462869
"63",2012,3,"2012-03","Mar","NE","RN",240810,"Natal-RN"," NATAL",27.6666214689266
"64",2012,3,"2012-03","Mar","NE","SE",280030,"Aracaju-SE"," ARACAJU",28.1165915238954
"65",2012,3,"2012-03","Mar","S","PR",410690,"Curitiba-PR"," CURITIBA",20.2705754875994
"66",2012,3,"2012-03","Mar","S","RS",431490,"Porto Alegre-RS"," PORTO ALEGRE",22.8771106510237
"67",2012,3,"2012-03","Mar","SE","MG",310930,"Buritis-MG"," BURITIS",23.1236594663278
"68",2012,3,"2012-03","Mar","SE","MG",312600,"Florestal-MG"," FLORESTAL",22.5554904171365
"69",2012,3,"2012-03","Mar","SE","SP",350570,"Barueri-SP"," BARUERI",21.5902926149559
"70",2012,4,"2012-04","Apr","CO","GO",520620,"Cristalina-GO"," CRISTALINA",20.6080592867068
"71",2012,4,"2012-04","Apr","CO","MS",500270,"Campo Grande-MS"," CAMPO GRANDE",23.8935277777778
"72",2012,4,"2012-04","Apr","N","AC",120040,"Rio Branco-AC"," RIO BRANCO",25.2056944444445
"73",2012,4,"2012-04","Apr","N","AM",130030,"Autazes-AM"," AUTAZES",26.5327791632031
"74",2012,4,"2012-04","Apr","N","AM",130190,"Itacoatiara-AM"," ITACOATIARA",26.335108114392
"75",2012,4,"2012-04","Apr","N","AM",130250,"Manacapuru-AM"," MANACAPURU",26.6017361111111
"76",2012,4,"2012-04","Apr","N","AM",130260,"Manaus-AM"," MANAUS",26.6854166666667
"77",2012,4,"2012-04","Apr","N","AM",130353,"Presidente Figueiredo-AM"," PRESIDENTE FIGUEIREDO",26.0431356620633
"78",2012,4,"2012-04","Apr","N","PA",150240,"Castanhal-PA"," CASTANHAL",26.0016783643576
"79",2012,4,"2012-04","Apr","N","RO",110020,"Porto Velho-RO"," PORTO VELHO",26.0121506395073
"80",2012,4,"2012-04","Apr","N","RR",140010,"Boa Vista-RR"," BOA VISTA",27.6796715490457
"81",2012,4,"2012-04","Apr","N","TO",172100,"Palmas-TO"," PALMAS",26.7452519379846
"82",2012,4,"2012-04","Apr","NE","BA",292740,"Salvador-BA"," SALVADOR",26.4197890507283
"83",2012,4,"2012-04","Apr","NE","CE",230440,"Fortaleza-CE"," FORTALEZA",26.8685450208706
"84",2012,4,"2012-04","Apr","NE","PE",261160,"Recife-PE"," RECIFE",26.4174444444444
"85",2012,4,"2012-04","Apr","NE","PI",221100,"Teresina-PI"," TERESINA",26.6813982521848
"86",2012,4,"2012-04","Apr","NE","RN",240810,"Natal-RN"," NATAL",27.3065554783414
"87",2012,4,"2012-04","Apr","NE","SE",280030,"Aracaju-SE"," ARACAJU",27.640138888889
"88",2012,4,"2012-04","Apr","S","PR",410690,"Curitiba-PR"," CURITIBA",18.4350353892821
"89",2012,4,"2012-04","Apr","S","RS",431490,"Porto Alegre-RS"," PORTO ALEGRE",20.3604861111111
"90",2012,4,"2012-04","Apr","SE","MG",310930,"Buritis-MG"," BURITIS",22.071875
"91",2012,4,"2012-04","Apr","SE","MG",312600,"Florestal-MG"," FLORESTAL",20.6765987025023
"92",2012,4,"2012-04","Apr","SE","SP",350570,"Barueri-SP"," BARUERI",20.0482638888889
"93",2012,5,"2012-05","May","CO","GO",520620,"Cristalina-GO"," CRISTALINA",19.3515348420345
"94",2012,5,"2012-05","May","CO","MS",500270,"Campo Grande-MS"," CAMPO GRANDE",21.2640678865022
"95",2012,5,"2012-05","May","N","AC",120040,"Rio Branco-AC"," RIO BRANCO",24.7059863304267
"96",2012,5,"2012-05","May","N","AM",130030,"Autazes-AM"," AUTAZES",26.7454594448935
"97",2012,5,"2012-05","May","N","AM",130190,"Itacoatiara-AM"," ITACOATIARA",26.461493477283
"98",2012,5,"2012-05","May","N","AM",130250,"Manacapuru-AM"," MANACAPURU",26.8517644414476
"99",2012,5,"2012-05","May","N","AM",130260,"Manaus-AM"," MANAUS",26.9709946236559
"100",2012,5,"2012-05","May","N","AM",130353,"Presidente Figueiredo-AM"," PRESIDENTE FIGUEIREDO",26.125974025974
"101",2012,5,"2012-05","May","N","PA",150240,"Castanhal-PA"," CASTANHAL",26.1879814653924
"102",2012,5,"2012-05","May","N","RO",110020,"Porto Velho-RO"," PORTO VELHO",25.7652643419573
"103",2012,5,"2012-05","May","N","RR",140010,"Boa Vista-RR"," BOA VISTA",26.750940860215
"104",2012,5,"2012-05","May","N","TO",172100,"Palmas-TO"," PALMAS",27.198758357211
"105",2012,5,"2012-05","May","NE","BA",292740,"Salvador-BA"," SALVADOR",25.1758729443569
"106",2012,5,"2012-05","May","NE","CE",230440,"Fortaleza-CE"," FORTALEZA",26.7839692561075
"107",2012,5,"2012-05","May","NE","PE",261160,"Recife-PE"," RECIFE",25.5140322580646
"108",2012,5,"2012-05","May","NE","PI",221100,"Teresina-PI"," TERESINA",26.8575181159421
"109",2012,5,"2012-05","May","NE","RN",240810,"Natal-RN"," NATAL",26.4918646346929
"110",2012,5,"2012-05","May","NE","SE",280030,"Aracaju-SE"," ARACAJU",26.5451836917563
"111",2012,5,"2012-05","May","S","PR",410690,"Curitiba-PR"," CURITIBA",15.9210202512176
"112",2012,5,"2012-05","May","S","RS",431490,"Porto Alegre-RS"," PORTO ALEGRE",17.2044802867383
"113",2012,5,"2012-05","May","SE","MG",310930,"Buritis-MG"," BURITIS",20.9129032258065
"114",2012,5,"2012-05","May","SE","MG",312600,"Florestal-MG"," FLORESTAL",18.0214605734767
"115",2012,5,"2012-05","May","SE","SP",350570,"Barueri-SP"," BARUERI",17.258938172043
